ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,PHONE,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10107,30,95.7,2,2871,Shipped,1,2,2003,Motorcycles,95,S10_1678,2125557818,NYC,NY,10022,USA,NA,Yu,Kwai,Small
10121,34,81.35,5,2765.9,Shipped,2,5,2003,Motorcycles,95,S10_1678,26.47.1555,Reims,,51100,France,EMEA,Henriot,Paul,Small
10134,41,94.74,2,3884.34,Shipped,3,7,2003,Motorcycles,95,S10_1678,+33 1 46 62 7555,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
10145,45,83.26,6,3746.7,Shipped,3,8,2003,Motorcycles,95,S10_1678,6265557265,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159,49,100,14,5205.27,Shipped,4,10,2003,Motorcycles,95,S10_1678,6505551386,San Francisco,CA,,USA,NA,Brown,Julie,Medium
10168,36,96.66,1,3479.76,Shipped,4,10,2003,Motorcycles,95,S10_1678,6505556809,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10180,29,86.13,9,2497.77,Shipped,4,11,2003,Motorcycles,95,S10_1678,20.16.1555,Lille,,59000,France,EMEA,Rance,Martine,Small
10188,48,100,1,5512.32,Shipped,4,11,2003,Motorcycles,95,S10_1678,+47 2267 3215,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10201,22,98.57,2,2168.54,Shipped,4,12,2003,Motorcycles,95,S10_1678,6505555787,San Francisco,CA,,USA,NA,Murphy,Julie,Small
10211,41,100,14,4708.44,Shipped,1,1,2004,Motorcycles,95,S10_1678,(1) 47.55.6555,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
10223,37,100,1,3965.66,Shipped,1,2,2004,Motorcycles,95,S10_1678,03 9520 4555,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10237,23,100,7,2333.12,Shipped,2,4,2004,Motorcycles,95,S10_1678,2125551500,NYC,NY,10022,USA,NA,Frick,Michael,Small
10251,28,100,2,3188.64,Shipped,2,5,2004,Motorcycles,95,S10_1678,2015559350,Newark,NJ,94019,USA,NA,Brown,William,Medium
10263,34,100,2,3676.76,Shipped,2,6,2004,Motorcycles,95,S10_1678,2035552570,Bridgewater,CT,97562,USA,NA,King,Julie,Medium
10275,45,92.83,1,4177.35,Shipped,3,7,2004,Motorcycles,95,S10_1678,40.67.8555,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
10285,36,100,6,4099.68,Shipped,3,8,2004,Motorcycles,95,S10_1678,6175558555,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10299,23,100,9,2597.39,Shipped,3,9,2004,Motorcycles,95,S10_1678,90-224 8555,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small
10309,41,100,5,4394.38,Shipped,4,10,2004,Motorcycles,95,S10_1678,07-98 9555,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10318,46,94.74,1,4358.04,Shipped,4,11,2004,Motorcycles,95,S10_1678,2155551555,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium
10329,42,100,1,4396.14,Shipped,4,11,2004,Motorcycles,95,S10_1678,2125557818,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10341,41,100,9,7737.93,Shipped,4,11,2004,Motorcycles,95,S10_1678,6562-9555,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large
10361,20,72.55,13,1451,Shipped,4,12,2004,Motorcycles,95,S10_1678,+61 2 9495 8555,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
10375,21,34.91,12,733.11,Shipped,1,2,2005,Motorcycles,95,S10_1678,40.67.8555,Nantes,,44000,France,EMEA,Labrune,Janine,Small
10388,42,76.36,4,3207.12,Shipped,1,3,2005,Motorcycles,95,S10_1678,5085552555,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Medium
10403,24,100,7,2434.56,Shipped,2,4,2005,Motorcycles,95,S10_1678,(171) 555-2282,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small
10417,66,100,2,7516.08,Disputed,2,5,2005,Motorcycles,95,S10_1678,(91) 555 94 44,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10103,26,100,11,5404.62,Shipped,1,1,2003,Classic Cars,214,S10_1949,07-98 9555,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10112,29,100,1,7209.11,Shipped,1,3,2003,Classic Cars,214,S10_1949,0921-12 3555,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large
10126,38,100,11,7329.06,Shipped,2,5,2003,Classic Cars,214,S10_1949,(91) 555 22 82,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large
10140,37,100,11,7374.1,Shipped,3,7,2003,Classic Cars,214,S10_1949,6505556809,Burlingame,CA,94217,USA,NA,Hirano,Juri,Large
10150,45,100,8,10993.5,Shipped,3,9,2003,Classic Cars,214,S10_1949,+65 221 7555,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large
10163,21,100,1,4860.24,Shipped,4,10,2003,Classic Cars,214,S10_1949,2125558493,NYC,NY,10022,USA,NA,Hernandez,Maria,Medium
10174,34,100,4,8014.82,Shipped,4,11,2003,Classic Cars,214,S10_1949,61-7-3844-6555,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large
10183,23,100,8,5372.57,Shipped,4,11,2003,Classic Cars,214,S10_1949,2155554695,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Medium
10194,42,100,11,7290.36,Shipped,4,11,2003,Classic Cars,214,S10_1949,78.32.5555,Lyon,,69004,France,EMEA,Saveley,Mary,Large
10206,47,100,6,9064.89,Shipped,4,12,2003,Classic Cars,214,S10_1949,(604) 555-3392,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Large
